Food group,Commonly consumed food,Commonly consumed food ID,Bar code,Brand,Food item,Energy kJ/100g,Fat g/100g,Sat fat g/100g,CHO g/100g,Sugars g/100g,Fibre g/100g,protein g/100g,Sodium g/100g,Date,Source nutrient information
Fruit,"Apples, fresh",,,,,217,0.3,0.0,12,10.8,2.1,0,1,,FCDB
Fruit,"Bananas, fresh",Most commonly consumed foods (except fresh unpackaged foods and takeaways) might have ,,,,382,0.3,0.1,21,15.2,1.8,1,0,,FCDB
Fruit,"Grapes, fresh",multiple rows,,,,282,0.2,0.1,15,15.48,0,1,2,,FCDB
Fruit,"Kiwifruit, fresh",,,,,222,0.7,0.2,11,10.22,2.21,1,2,,FCDB
Fruit,"Mandarins, fresh",,,,,203,0.4,0.0,10,9.85,2,1,3,,FCDB
Fruit,"Nectarines, fresh",,,,,167,0.4,0.0,8,7.8,1.62,1,2,,FCDB
Fruit,"Oranges, fresh",,,,,172,0.3,0.1,9,8.45,2,1,3,,FCDB
Fruit,"Peaches, canned in clear juice",,,,In juice,171,0.0,0.0,9,9.37,1,1,4,,FCDB
Fruit,"Pears, fresh",,,,,188,0.3,0.0,10,9.95,3.2,0,1,,FCDB
Fruit,"Sultanas, dried",,,,"Tasti, homebrand ",1337,0.4,0.2,75,73.2,4.4,3,36,,FCDB
Vegetables,"Avocados, fresh",,,,,1029,26.6,3.7,1,0.54,4.8,2,17,,FCDB
Vegetables,"Broccoli, fresh",,,,,121,0.5,0.1,2,1.75,3.4,4,7,,FCDB
Vegetables,"Cabbage, fresh",,,,drumhead,94,0.2,0.0,4,3.9,1.8,1,7,,FCDB
Vegetables,"Capsicums, fresh",,,,green,73,0.2,0.0,3,2.8,1.5,1,0,,FCDB
Vegetables,"Carrots, fresh",,,,,134,0.2,0.0,7,6.6,2.8,1,41,,FCDB
Vegetables,"Cauliflower, fresh",,,,,84,0.2,0.0,3,2.6,1.8,2,7,,FCDB
Vegetables,"Courgettes, fresh",,,,,47,0.2,0.0,1,0.6,1.1,2,0,,FCDB
Vegetables,"Cucumber, fresh",,,,Telegraph,45,0.0,0.0,2,1.8,0.8,1,2,,FCDB
Vegetables,"Lettuce, fresh",,,,iceberg whole,62,0.3,0.1,2,1.1,1.56,1,2,,FCDB
Vegetables,"Kumara, fresh",,,,,349,0.2,0.1,19,5.2,1.8,1,27,,FCDB
Vegetables,"Mixed vegetables, frozen",,,,Watties,247,0.5,0.1,10,4.5,4.55,3,20,,FCDB
Vegetables,"Mushrooms, fresh",,,,,50,0.2,0.0,0,0.2,2.5,2,6,,FCDB
Vegetables,"Onions, fresh",,,,,57,0.0,0.0,3,2.7,1.4,1,7,,FCDB
Vegetables,"Peas, fozen",,,,,175,0.4,0.1,4,1,5.8,5,2,,NIP
Vegetables,"Potatoes, fresh",,,,,351,0.2,0.0,18,0.21,1.9,2,4,,FCDB
Vegetables,"Potato fries, frozen, superfries, straight cut",,,,,710,5.5,0.9,26,0,2,4,67,,NIP
Vegetables,"Pumpkin, fresh",,,,,164,0.5,0.1,7,6.48,3.24,1,0,,FCDB
Vegetables,"Silverbeet, fresh",,,,,72,0.2,0.0,2,1.5,2.91,2,112,,FCDB
Vegetables,Taro,,,,,488,1.3,1.1,25,2.18,3.07,1,0,,FCDB
Vegetables,"Tomatoes, fresh",,,,,73,0.4,0.0,3,2.65,1.2,1,1,,FCDB
Vegetables,"Tomatoes, canned, drained",,,,Watties 400g can,107,0.2,0.0,5,4.6,1.7,1,138,,NIP
Grains,"Bread, white",,,,"Nature Fresh, home brand",977,2.4,0.3,43,4.3,3.6,9,460,,NIP
Grains,"Bread, wheatmeal",,,,Nature Fresh wheatmeal Toast,908,2.9,0.4,37,3.8,6.5,10,430,,NIP
Grains,"Bread, wholegrain",,,,Vogels,964,2.8,0.4,41,4.1,5.1,10,450,,NIP
Grains,Pita bread,,,,Giannis,1047,0.9,0.1,49,2.3,3,10,344,,NIP
Grains,"Cake, fruit",,,,Ernest Adams,1509,12.9,5.8,56,42.1,3.4,5,250,,NIP
Grains,"Biscuits, plain gingernut",,,,"Griffins Wine, Griffins Cookie Bear",1738,9.0,4.3,78,37.45,1.9,5,190,,NIP
Grains,"Biscuits, chocolate chip",,,,"Arnotts Tim, Tam",2023,23.4,15.0,62,39.45,2.2,6,380,,NIP
Grains,"Biscuits, crackers Shapes",,,,Arnotts Shapes,1956,24.5,10.7,55,2.33,3.4,7,750,,NIP
Grains,"Muffins, scone",,,,,1517,18.0,3.2,46,27.3,2.3,4,240,,FCDB
Grains,Cornflakes,,,,Sanitarium,1471,1.3,0.1,76,7.3,3.3,8,610,,NIP
Grains,"Muesli, toasted",,,,Sanitarium,1703,14.4,2.5,60,21,10,9,270,,NIP
Grains,Weetbix,,,,Sanitarium,1291,2.3,0.0,58,1.7,10.7,13,280,,NIP
Grains,Rolled oats,,,,Harraways,206,1.1,0.2,8,0,1.7,2,160,,NIP
Grains,Pasta dried,,,,San Remo,354,0.5,0.1,17,0.3,1,3,1,,FCDB
Grains,"Quick noodles, 2 minutes",,,,"Maggi, Trident, Fantastic",278,0.6,0.2,13,0.63,0.24,2,242,,NIP
Grains,Brown rice,,,,Sunrice,581,1.1,0.2,29,0.5,1.8,3,1,,NIP
Grains,"Rice, long grain, white",,,,Sunrice,501,0.4,0.1,25,0,0.7,3,1,,NIP
Grains,"Spaghetti, canned",,,,Watties,273,0.4,0.1,13,5.05,1.1,2,310,,NIP
Dairy,"Cheese, colby",,,,Mainland,1664,34.0,22.1,0,0,0,24,677,,NIP
Dairy,"Cheese, Edam",,,,"Mainland, Bouton d'Or",1471,26.9,16.9,0,0,0,28,768,,NIP
Dairy,"Milk, trim",,,,"home brand, Anchor",161,0.3,0.1,5,4.95,0,4,39,,NIP
Dairy,"Milk, standard",,,,"home brand, Anchor",248,3.1,1.9,5,4.53,0,3,38,,NIP
Dairy,"Yoghurt, full-fat flavoured",,,,FreshnFruity,349,2.7,1.8,11,10.3,0.2,4,33,,NIP
Dairy,"Yoghurt, natural, low-fat",,,,FreshnFruity,168,0.4,0.2,4,4.3,0.3,5,48,,NIP
Protein,Eggs,,,,"Farmer Brown, Homebrand",568,9.5,2.6,1,0.55,0,12,140,,FCDB
Protein,"Beef, corned silverside",,,,,946,10.3,3.2,0,0,0,33,30,,FCDB
Protein,"Beef steak, blade",,,,,821,8.5,3.0,0,0,0,30,25,,FCDB
Protein,"Beef steak, rump",,,,,800,7.8,2.8,0,0,0,30,55,,FCDB
Protein,"Beef, mince, stewed",,,,,790,19.5,4.8,0,0,0,23,35,,FCDB
Protein,Chicken breast fresh,,,,,700,4.6,1.5,0,0,0,31,65,,FCDB
Protein,chicken pieces with bone,,,,,700,4.6,1.5,0,0,0,31,65,,FCDB
Protein,"Chicken, whole, pre-cooked",,,,Tegel,566,2.1,2.1,0,0,0,29,330,,FCDB
Protein,Chicken drumstick,,,,,700,6.8,2.2,0,0,0,26,110,,FCDB
Protein,Lamb shoulder chops,,,,,1473,28.5,11.9,0,0,0,25,56,,FCDB
Protein,Pork leg roast,,,,,804,7.6,3.3,0,0,0,31,84,,FCDB
Protein,"Bacon, middle rashers",,,,"Hellers, Beehive, Kiwi, homebrand",906,10.7,4.4,0,0,0,30,2430,,NIP
Protein,"Ham, sliced or shaved",,,,"Hellers, Beehive, Kiwi, homebrand",440,5.1,1.9,2,0,0,13,1500,,NIP
Protein,Sausages,,,,"Hellers, Beehive, Kiwi, homebrand",1121,22.2,9.7,3,0,1.96,15,544,,NIP
Protein,"Fish fillets, fresh",,,,Tarakihi,468,1.3,0.2,0,0.31,0,24,97,,FCDB
Protein,"Tuna, canned",,,,Canned in oil,490,1.0,0.2,0,0,0,27,310,,NIP
Protein,"Fish fillets, frozen, multipack",,,,Sealord,828,12.0,1.4,12,0,0.6,11,275,,FCDB
Protein,Baked Beans regular,,,,Watties,321,0.6,0.1,13,3.95,5.2,5,470,,NIP
Protein,Hummus dip,,,,Lisa,540,6.2,0.8,11,0,6,7,300,,NIP
Protein,"Lentils, canned in springwater",,,,"Watties, canned in springwater",240,0.2,0.0,8,0.8,1.8,5,115,,NIP
Protein,"Peanuts, plain",,,,Tasti or Value Pack,2363,49.0,9.2,8,3,8.2,24,6,,NIP
Protein,"Almonds, plain",,,,Value Pack,2268,49.4,3.7,5,3.9,12.2,21,1,,NIP
Fats & oils,Butter,,,,Anchor,3053,82.1,53.1,0,0.44,0,0,547,,NIP
Fats & oils,"Margarine, mufa regular fat",,,,"Flora, Meadowlea",2595,70.0,16.1,0,0,0,0,390,,NIP
Fats & oils,Olive oil,,,,Lupi,3689,99.6,16.6,0,0.2,0,0,0,,NIP
Fats & oils,Canola oil,,,,"homebrand, Sunfield",3698,99.9,7.2,0,0,0,0,0,,NIP
Snacks,"Chocolate, dairy milk block",,,,Cadbury,2230,30.3,2.6,57,53.9,0.8,8,120,,NIP
Snacks,"Sweets - gum, jelly soft ",,,,jelly beans,1573,0.1,0.0,92,71.5,0,1,26,,NIP
Snacks,"Ice cream, plain",,,,Tip Top,796,10.8,7.1,20,19.9,0,3,45,,NIP
Snacks,"Muesli Bar, fruit nut choc",,,,Tasti,1948,28.9,6.3,37,32.4,6.2,14,26,,NIP
Snacks,"Potato crisps, regular cut",,,,Bluebird,2170,36.8,16.4,42,1.2,3.84,6,670,,NIP
Sauces,Jam,,,,"Home brand, Craigs",1207,0.4,0.0,70,67.75,1.1,0,13,,NIP
Sauces,Peanut butter,,,,"Home brand, Eta, Sanitarium",2530,50,10,6,3.3,6,29,535,,NIP
Sauces,"Vegetable soup, canned",,,,Watties,157,0.7,0.1,6,2.4,1.8,2,500,,NIP
Sauces,Pasta sauce,,,,Watties,209,0.4,0.0,10,7.8,1.7,2,488,,NIP
Sauces,"Mayonnaise, regular",,,,Eta,1348,27.6,3.1,19,14.79,0.8,1,607,,NIP
Sauces,Tomato sauce,,,,Watties,447,0.1,0.0,25,24.4,1.4,1,615,,NIP
Sauces,White sugar,,,,Chelsea,1700,0.0,0.0,100,100,0,0,0,,NIP
Beverages,"Milo, powder",,,,powder,1489,9.7,4.5,88,52.1,5.7,12,109,,NIP
Beverages,Cola,,,,cocacola,185,0.0,0.0,11,10.9,0,0,12,,NIP
Beverages,Diet cola,,,,Coke Zero,0,0.0,0.0,0,0,0,0,6,,NIP
Beverages,Fruit drink orange,,,,Keri 3L orange fruit drink (or 1L),97,0.3,0.0,5,4.87,0.1,0,3,,NIP
Beverages,Orange juice,,,,Just Juice,183,0.0,0.0,10,10.4,0.3,0,3,,NIP
Beverages,Drink Powder,,,,powder,1601,0.6,0.1,93,92.75,0.3,0,187,,NIP
Takeaway,Meat pie,,,,"Irvines, Big Ben",1085,12.7,6.6,27,0.65,0.9,9,455,,FCDB
Takeaway,Whole cooked chicken (supermarket),,,,deli cooked breast,566,2.1,0.6,0,0,0,29,330,,FCDB
Takeaway,Hot chips,,,,Independent shop,917,10.7,5.2,26.7,0.3,4.2,4.0,190,,FCDB
Takeaway,Battered fish,,,,Independent shop,1256,20.3,9.9,14.6,0.0,0.1,15.2,314,,FCDB
Takeaway,Pizza,,,,Dominoes supreme,993,7.2,3.2,27.6,1.0,1.7,12.4,540,,FCDB
Takeaway,Burger,,,,McDonalds Big Mac,1088,13.3,5.6,21.4,4.1,1.2,13.6,760,,FCDB
Alcohol,"Wine, medium white",,,,"Montana, Corbans, Villa Maria",342,0.0,0.0,2,2.3,0,0,6,,FCDB
Alcohol,"Beer, lager, draught, bitter",,,,"Lion, export, Steinlager, Speights",145,0.0,0.0,1,0.65,0,0,2,,FCDB